model,year,cpu_gen,cpu,ram_config,ram_type,storage,os,browser,webxprt5,speedometer31,passmark,notes,date
HP Envy 6-1010us,2012,AMD,,8 (4+4),DDR3,SSD,Win10,Chrome,17,3.8,,,2026-06-04
HP Envy 6-1010us,2012,AMD,,4 (2+2),DDR3,SSD,Mint,Firefox,17,3.9,,,
HP ProBook 4430s,2011,gen 2,i3-2330M,8 (4+4),DDR3,,Win10,Chrome,,6.0,344,,
HP ProBook 4430s,2011,gen 2,i5,8 (4+4),DDR3,SSD,Win10,Chrome,32,6.2,,,
HP EliteBook 8570w,2012,gen 3,,8 (4+4),DDR3L,HDD 7200,Win11,Edge,37,6.6,,HDD config,
HP ProBook 4430s,2011,gen 2,i5,8 (4+4),DDR3,SSD,Win10,Chrome,33,7.4,,after repasting,
HP ProBook 4430s,2011,gen 2,i5,16 (8+8),DDR3,SSD,Win10,Chrome,34,7.5,,,
HP Folio 9470m,2012,gen 3,,16 (8+8),DDR3,SSD,Win11,Chrome,39,7.8,,,
Lenovo E550,2015,gen 5,i5,8 (4+4),DDR3,SSD,Win10,Chrome,37,7.9,962,,
Lenovo E550,2015,gen 5,i5,16 (8+8),DDR3,SSD,Win10,Chrome,37,8.6,,,
Dell E6540,2013,gen 4,i5,8 (4+4),DDR3L,SSD,Win10,Chrome,43,10.5,978,,
HP EliteBook 840 G3,2016,gen 6,i7,8 (4+4),DDR4,M.2,Win11,Chrome,,11.0,,,
HP EliteBook 840 G3,2016,gen 6,i7,16 (8+8),DDR4,M.2,Win11,Chrome,44,11.1,,,
Lenovo X1 Yoga Gen 1,2016,gen 6,i7,16,LPDDR3,M.2,Win11,,,11.1,,,
HP EliteBook 8570w,2012,gen 3,i7,24,DDR3L,SSD,Win11,Edge,41,11.3,1134,SSD + 100W brick,
Dell 3501,2020,gen 11,,16 (8+8),DDR4,M.2,Win11,Chrome,61,13.1,,,
ThinkPad T14 Gen 4 (AMD),2023,Ryzen 7040,Ryzen 7,32,DDR5,M.2,Win11,Chrome,98,23.3,,,
Dell Latitude 7430,2022,gen 12,i5-1235U,8,DDR4,M.2,Win10,Chrome,,24.7,6055,webxprt failed,
Dell Latitude 7430,2022,gen 12,i5-1235U,8,DDR4,M.2,,,,20.2,,second run,
Dell Vostro 5620,2022,gen 12,,16,DDR4,M.2,Win11,Chrome,72,25.1,,,
Dell 16 Pro Plus U7,2024,Ultra 200U,,16,DDR5,M.2,Win11,Chrome,89,30.0,,,
iPad A16,2025,A16,,6,LPDDR5,,iOS 26.5,Safari,,31.5,,webxprt failed,
Dell 14 Pro Plus U5,2025,Ultra 200U,,16 (16),DDR5,M.2,Win11,Chrome,94,33.0,4669,same result with 2x8,
iPhone 17,2025,A19,,8,,,iOS 26.5,Safari,94,38.9,,,
Dell Latitude 3140,2023,N100/N200,,8 soldered,LPDDR5X,M.2 250GB,Win11 fresh,Chrome,,9.46,,Claude predicted 11.5 — lost the bet,2026-07-21
