brand,series,model,year,col,size,cpu,gen,ram,slots,max,sold,w11,tag,st_25sata,st_msata,st_m2sata,st_m2nvme,st_ide,st_emmc,st_m2len,st_note,price,price_note,os,note,aliases,pwr,bat,bat_note
thinkpad,T,T20,2000,,14.1″,Pentium III (Coppermine),sdr,PC100 SDRAM SODIMM,2× SODIMM,512 MB,,,IDE,,,,,1,,,,$25–50,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""T20 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,T,T23,2002,,14.1″,Pentium III-M (Tualatin),sdr,PC133 SDRAM SODIMM,2× SODIMM,1 GB,,,IDE,,,,,1,,,,$25–50,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""T23 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,T,T40,2003,,14.1″,Pentium M (Banias),ddr1,DDR-266 SODIMM,2× SODIMM,2 GB,,,IDE,,,,,1,,,,$30–60,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,First Pentium-M ThinkPad; T40/T41/T42 share this platform.,,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""T40 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,T,T42,2004,,14.1/15″,Pentium M (Dothan),ddr1,DDR-333 SODIMM,2× SODIMM,2 GB,,,IDE,,,,,1,,,,$30–60,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,T42p = FireGL workstation-GPU variant.,T42p,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""T42 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,T,T43,2005,,14.1/15″,"Pentium M (Dothan, 2 MB)",ddr2,DDR2-533 SODIMM,2× SODIMM,2 GB,,,SATA,1,,,,,,,first SATA T-series,$30–60,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,T43p = FireGL workstation-GPU variant.,T43p,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""T43 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,T,T60,2006,,14.1/15″,Core Duo / Core 2 Duo,ddr2,DDR2-667 SODIMM,2× SODIMM,"4 GB (~3.3 usable, 32-bit)",,,SATA,1,,,,,,,,$30–60,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"Removable 6-cell (2006–07). Search ""T60 6-cell battery"".|>9-cell high-capacity packs stick out the back — big runtime if cells are healthy. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T61,2007,,14.1/15.4″,Core 2 Duo (Santa Rosa),ddr2,DDR2-667 SODIMM,2× SODIMM,8 GB (official 4),,,SATA,1,,,,,,,,$35–70,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,T61p = Quadro FX workstation-GPU variant.,T61p,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"Removable 6-cell (2006–07). Search ""T61 6-cell battery"".|>9-cell high-capacity packs stick out the back — big runtime if cells are healthy. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T400 / T500,2008,,14.1/15.4″,Core 2 Duo (Penryn),ddr3,DDR3-1066 SODIMM,2× SODIMM,8 GB,,,SATA,1,,,,,,,,$35–70,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"Removable 6-cell (2008–09). Search ""T400 battery"".|>9-cell options add runtime and prop the rear up. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T410 / T510,2010,,14.1/15.6″,Intel 1st gen Core i (Arrandale),ddr3,DDR3-1066/1333 SODIMM,2× SODIMM,8 GB,,0,SATA,1,,,,,,,,$30–55,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price.,,,,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"Removable 6-cell (2011-era). Search ""T410 6-cell"".|>9-cell high-capacity available. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T420 / T520,2011,,14/15.6″,Intel 2nd gen (Sandy Bridge),ddr3,DDR3-1333 SODIMM,2× SODIMM,16 GB (official 8),,0,SATA,1,2,,,,,,mSATA uses the WWAN slot,$59–179,"Real eBay sold IQR, Jul 2026 (n=29, median $128). T420 titles. Real eBay sold IQR, Jul 2026 (n=28, median $129) (T420 sampled; other variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,,,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"6-cell ""55+"" — search 42T4795|>9-cell 55++ available (protrudes, big runtime). Fits T410/T420/T510/T520 era widely. <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival."
thinkpad,T,T430 / T530,2012,,14/15.6″,Intel 3rd gen (Ivy Bridge),ddr3,DDR3-1600 SODIMM,2× SODIMM,16 GB,,0,SATA,1,1,,,,,,,$50–144,"Real eBay sold IQR, Jul 2026 (n=14, median $120). T430 titles. Real eBay sold IQR, Jul 2026 (n=13, median $128) (T430 base sampled; s/p/15″ variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,,,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"6-cell ""70+"" — search 0A36302|>9-cell 70++ available. Fits T430/T430i/T530/W530. <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival."
thinkpad,T,T431s,2013,,14″,Intel 3rd gen (Ivy Bridge),ddr3,DDR3L-1600 (4 GB soldered + 1 slot),4 GB soldered + 1× SODIMM,12 GB,1,0,SATA/mSATA,1,1,,,,,,,$50–85,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price.,,,,"slim tip (rectangular) · 45–65W|>Search ""Lenovo slim tip 65W"" (ADLX65NDC3A; 45W = ADLX45NDC3A). T440p / T540p / W540 quad-cores need the 135W slim brick instead. Undersized = slow-charge/throttle. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM.",bridge (int + hot-swap ext),"Power Bridge era — internal + hot-swap external. Search by model FRU.|>Internal ~24Wh + external 3/6-cell, swappable without shutdown. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T440 / T440s / T440p / T540p,2013,,14/15.6″,Intel 4th gen (Haswell),ddr3,DDR3L-1600 SODIMM,1–2× SODIMM (s: 4 GB soldered + 1),"16 GB (T440p 16, s 12)",,0,SATA/M.2,1,,1,,,,2242,,$65–100,"Real eBay sold IQR, Jul 2026 (n=26, median $95). T440-family titles. Real eBay sold IQR, Jul 2026 (n=27, median $100) (T440p sampled; other variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,T440p has 2 slots (16 GB); T440s has 4 GB soldered + 1 slot.,,"slim tip (rectangular) · 45–65W|>Search ""Lenovo slim tip 65W"" (ADLX65NDC3A; 45W = ADLX45NDC3A). T440p / T540p / W540 quad-cores need the 135W slim brick instead. Undersized = slow-charge/throttle. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM.",mixed (see ⓘ),"Bridge vs classic|>T440/T440s: Power Bridge — internal 23Wh + external 68/68+ (search 45N1136 for 68+ 48Wh), hot-swappable. T440p/T540p: classic removable 6-cell ""57+"" (search 45N1144). <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival."
thinkpad,T,T450 / T450s / T550,2014,,14/15.6″,Intel 5th gen (Broadwell) (early SKUs: 4th-gen Haswell — Broadwell was late),ddr3,DDR3L-1600 SODIMM,1–2× SODIMM,16 GB (450s 12),,0,SATA/M.2,1,,1,,,,2242,,$69–100,"Real eBay sold IQR, Jul 2026 (n=11, median $95). T450-title listings. The default used ThinkPad — huge supply; config and battery health set the price.",,,,"slim tip (rectangular) · 45–65W|>Search ""Lenovo slim tip 65W"" (ADLX65NDC3A; 45W = ADLX45NDC3A). T440p / T540p / W540 quad-cores need the 135W slim brick instead. Undersized = slow-charge/throttle. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM.",bridge (int + hot-swap ext),68-family external — search 45N1136 (68+ 48Wh)|>Internal ~23Wh + external swap without shutdown. 6-cell 68++ 72Wh protrudes but doubles runtime. <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival.
thinkpad,T,T460 / T460s / T460p / T560,2016,,14/15.6″,Intel 6th gen (Skylake),ddr4,DDR4-2133 (460s: LPDDR3 soldered),2× SODIMM (460s soldered),"32 GB (460s 16 soldered, 460p 32)",0,0,SATA/M.2,1,,1,1,,,2242,,$60–110,"Real eBay sold IQR, Jul 2026 (n=15, median $80). T460 titles. Real eBay sold IQR, Jul 2026 (n=16, median $80) (T460 base sampled; s/p/15″ variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,T460s uses 16 GB soldered LPDDR3 — not upgradeable.,,"slim tip (rectangular) · 45–65W|>Search ""Lenovo slim tip 65W"" (ADLX65NDC3A; 45W = ADLX45NDC3A). T440p / T540p / W540 quad-cores need the 135W slim brick instead. Undersized = slow-charge/throttle. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM.",mixed (see ⓘ),Bridge on T460/T560|>T460/T560: int + ext 68-family (45N1136). T460s: internal only 49Wh. T460p: removable 6-cell. <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival.
thinkpad,T,T470 / T470s / T470p / T570,2017,,14/15.6″,Intel 6th/7th gen (Kaby Lake),ddr4,DDR4-2400 (470s: LPDDR3 soldered),2× SODIMM (470s soldered),32 GB (470s 24 soldered),,0,SATA/NVMe,1,,1,1,,,,,$90–135,"Real eBay sold IQR, Jul 2026 (n=18, median $103) (T470 base sampled; s/p/15″ variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,A475 (2017) = AMD Bristol Ridge twin in the same chassis.,A475,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",mixed (see ⓘ),"61-family bridge|>T470/T570: int 24Wh + ext 61 (24Wh) / 61+ (48Wh, search 01AV427) / 61++ (72Wh). T470s: internal 51Wh. Hot-swap externals. <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival."
